"block","plot","div","fdiv","light","com","cg","ch","cl","cm","cs","dh","ed","lg","pm","qs","sm","ss","ba"
"B1","B1.Xa01",1,"D1","c","ss",0,0,0,0,0,0,0,0,0,0,0,1,15.4193294429004
"B2","B2.Xa01",1,"D1","c","ss",0,0,0,0,0,0,0,0,0,0,0,1,11.8649315146289
"B3","B3.Xa01",1,"D1","c","ss",0,0,0,0,0,0,0,0,0,0,0,1,18.3724265372748
"B4","B4.Xa01",1,"D1","c","ss",0,0,0,0,0,0,0,0,0,0,0,1,22.2032060792459
"B1","B1.Xb01",1,"D1","s","ss",0,0,0,0,0,0,0,0,0,0,0,1,5.94350060151019
"B2","B2.Xb01",1,"D1","s","ss",0,0,0,0,0,0,0,0,0,0,0,1,4.4021567058427
"B3","B3.Xb01",1,"D1","s","ss",0,0,0,0,0,0,0,0,0,0,0,1,5.76874951015426
"B4","B4.Xb01",1,"D1","s","ss",0,0,0,0,0,0,0,0,0,0,0,1,2.02043677533994
"B1","B1.Xa06",2,"D2","c","ch|ss",0,1,0,0,0,0,0,0,0,0,0,1,16.913549448764
"B2","B2.Xa06",2,"D2","c","ch|ss",0,1,0,0,0,0,0,0,0,0,0,1,4.14297531192154
"B3","B3.Xa06",2,"D2","c","ch|ss",0,1,0,0,0,0,0,0,0,0,0,1,16.7996667150714
"B4","B4.Xa06",2,"D2","c","ch|ss",0,1,0,0,0,0,0,0,0,0,0,1,20.2298931937098
"B1","B1.Xb06",2,"D2","s","ch|ss",0,1,0,0,0,0,0,0,0,0,0,1,3.45182492813179
"B2","B2.Xb06",2,"D2","s","ch|ss",0,1,0,0,0,0,0,0,0,0,0,1,3.15926411226624
"B3","B3.Xb06",2,"D2","s","ch|ss",0,1,0,0,0,0,0,0,0,0,0,1,3.48324085466768
"B4","B4.Xb06",2,"D2","s","ch|ss",0,1,0,0,0,0,0,0,0,0,0,1,2.1539544631175
"B1","B1.Xa05",2,"D2","c","ed|ss",0,0,0,0,0,0,1,0,0,0,0,1,28.9988636880423
"B2","B2.Xa05",2,"D2","c","ed|ss",0,0,0,0,0,0,1,0,0,0,0,1,30.1887419055894
"B3","B3.Xa05",2,"D2","c","ed|ss",0,0,0,0,0,0,1,0,0,0,0,1,26.8409822341078
"B4","B4.Xa05",2,"D2","c","ed|ss",0,0,0,0,0,0,1,0,0,0,0,1,35.0582105186536
"B1","B1.Xb05",2,"D2","s","ed|ss",0,0,0,0,0,0,1,0,0,0,0,1,16.2986612266402
"B2","B2.Xb05",2,"D2","s","ed|ss",0,0,0,0,0,0,1,0,0,0,0,1,18.0700482443668
"B3","B3.Xb05",2,"D2","s","ed|ss",0,0,0,0,0,0,1,0,0,0,0,1,12.7018517975452
"B4","B4.Xb05",2,"D2","s","ed|ss",0,0,0,0,0,0,1,0,0,0,0,1,19.2795614159989
"B1","B1.Xa07",2,"D2","c","qs|ss",0,0,0,0,0,0,0,0,0,1,0,1,15.8925318363474
"B2","B2.Xa07",2,"D2","c","qs|ss",0,0,0,0,0,0,0,0,0,1,0,1,10.8483121319273
"B3","B3.Xa07",2,"D2","c","qs|ss",0,0,0,0,0,0,0,0,0,1,0,1,11.8477312948505
"B4","B4.Xa07",2,"D2","c","qs|ss",0,0,0,0,0,0,0,0,0,1,0,1,10.5204083987088
"B1","B1.Xb07",2,"D2","s","qs|ss",0,0,0,0,0,0,0,0,0,1,0,1,8.71988310912017
"B2","B2.Xb07",2,"D2","s","qs|ss",0,0,0,0,0,0,0,0,0,1,0,1,3.67959039551705
"B3","B3.Xb07",2,"D2","s","qs|ss",0,0,0,0,0,0,0,0,0,1,0,1,5.60774288665778
"B4","B4.Xb07",2,"D2","s","qs|ss",0,0,0,0,0,0,0,0,0,1,0,1,4.86554162224719
"B1","B1.Xa11",4,"D4","c","ch|ed|qs|ss",0,1,0,0,0,0,1,0,0,1,0,1,21.082050200996
"B2","B2.Xa11",4,"D4","c","ch|ed|qs|ss",0,1,0,0,0,0,1,0,0,1,0,1,13.2084336129366
"B3","B3.Xa11",4,"D4","c","ch|ed|qs|ss",0,1,0,0,0,0,1,0,0,1,0,1,18.6178634633365
"B4","B4.Xa11",4,"D4","c","ch|ed|qs|ss",0,1,0,0,0,0,1,0,0,1,0,1,20.0845945334812
"B1","B1.Xb11",4,"D4","s","ch|ed|qs|ss",0,1,0,0,0,0,1,0,0,1,0,1,11.7534835152428
"B2","B2.Xb11",4,"D4","s","ch|ed|qs|ss",0,1,0,0,0,0,1,0,0,1,0,1,8.83769283362979
"B3","B3.Xb11",4,"D4","s","ch|ed|qs|ss",0,1,0,0,0,0,1,0,0,1,0,1,11.2979525804723
"B4","B4.Xb11",4,"D4","s","ch|ed|qs|ss",0,1,0,0,0,0,1,0,0,1,0,1,9.09098374132546
